Time [s],Channel 0
-1.971830000,1
-0.522383000,0
-0.000000000,1
0.000675000,0
0.002000000,1
0.002675500,0
0.004000000,1
0.004676500,0
0.006000000,1
0.006677500,0
0.008000000,1
0.008678000,0
0.010000000,1
0.010677500,0
0.012000000,1
0.012677500,0
0.014000000,1
0.014677500,0
0.016000000,1
0.016677500,0
0.018020500,1
0.018954000,0
0.020000000,1
0.020678000,0
0.022000000,1
0.022677500,0
0.024000000,1
0.024677500,0
0.026000000,1
0.026677500,0
0.028000000,1
0.028677500,0
0.030000000,1
0.030677500,0
0.032000000,1
0.032677000,0
0.034000000,1
0.034677000,0
0.036000000,1
0.036677000,0
0.038020500,1
0.038959000,0
0.040000500,1
0.040677500,0
0.042000000,1
0.042677000,0
0.044000000,1
0.044677000,0
0.046000000,1
0.046677000,0
0.048000000,1
0.048677000,0
0.050000000,1
0.050677000,0
0.052000000,1
0.052677000,0
0.054000000,1
0.054677000,0
0.056000000,1
0.056677000,0
0.058020500,1
0.058954000,0
0.060000000,1
0.060675500,0
0.062000000,1
0.062675500,0
0.064000000,1
0.064675500,0
0.066000000,1
0.066675500,0
0.068000000,1
0.068675500,0
0.070000000,1
0.070675500,0
0.072000000,1
0.072675500,0
0.073999500,1
0.074675500,0
0.075999500,1
0.076675500,0
0.078020500,1
0.078948500,0
0.079999500,1
0.080676000,0
0.081999500,1
0.082676000,0
0.083999500,1
0.084676000,0
0.085999500,1
0.086676000,0
0.087999500,1
0.088676000,0
0.089999500,1
0.090676000,0
0.091999500,1
0.092676000,0
0.093999500,1
0.094676000,0
0.095999500,1
0.096676000,0
0.098020500,1
0.098960500,0
0.100003500,1
0.100742500,0
0.102000000,1
0.102775500,0
0.104736000,1
0.105435000,0
0.106002500,1
0.106701000,0
0.108000000,1
0.108697500,0
0.110000000,1
0.110696500,0
0.112000000,1
0.112700000,0
0.114000000,1
0.114676500,0
0.115999500,1
0.116676000,0
0.118020500,1
0.118949000,0
0.119999500,1
0.120675500,0
0.121999500,1
0.122675500,0
0.123999500,1
0.124675500,0
0.125999500,1
0.126675500,0
0.127999500,1
0.128675500,0
0.129999500,1
0.130675500,0
0.131999500,1
0.132675500,0
0.133999500,1
0.134675500,0
0.135999500,1
0.136675500,0
0.138020500,1
0.138956500,0
0.140000000,1
0.140676000,0
0.141999500,1
0.142675000,0
0.143999500,1
0.144675000,0
0.145999500,1
0.146675000,0
0.147999500,1
0.148675000,0
0.149999500,1
0.150675000,0
0.151999500,1
0.152675500,0
0.153999500,1
0.154675500,0
0.155999500,1
0.156675500,0
0.158020000,1
0.158949000,0
0.159999500,1
0.160675500,0
0.161999500,1
0.162675500,0
0.163999500,1
0.164675500,0
0.165999500,1
0.166675500,0
0.167999500,1
0.168675500,0
0.169999500,1
0.170675500,0
0.171999500,1
0.172675000,0
0.173999500,1
0.174675000,0
0.175999500,1
0.176675000,0
0.178020000,1
0.178951000,0
0.179999500,1
0.180675000,0
0.181999500,1
0.182675000,0
0.183999500,1
0.184675000,0
0.185999500,1
0.186675000,0
0.187999500,1
0.188675000,0
0.189999500,1
0.190675000,0
0.191999500,1
0.192675500,0
0.193999500,1
0.194675500,0
0.195999500,1
0.196675500,0
0.198020000,1
0.198957500,0
0.200003000,1
0.200742000,0
0.202000000,1
0.202775000,0
0.204741500,1
0.205437000,0
0.206004500,1
0.206703000,0
0.208000500,1
0.208699500,0
0.210000000,1
0.210696500,0
0.212000000,1
0.212701500,0
0.214000000,1
0.214676000,0
0.215999500,1
0.216675500,0
0.218020000,1
0.218952000,0
0.219999500,1
0.220675500,0
0.221999500,1
0.222675500,0
0.223999500,1
0.224675500,0
0.225999500,1
0.226675500,0
0.227999500,1
0.228675500,0
0.229999500,1
0.230675500,0
0.231999500,1
0.232675500,0
0.233999500,1
0.234675500,0
0.235999500,1
0.236675500,0
0.238020000,1
0.238954000,0
0.239999500,1
0.240676000,0
0.241999500,1
0.242675500,0
0.243999500,1
0.244675500,0
0.245999500,1
0.246675500,0
0.247999000,1
0.248675500,0
0.249999000,1
0.250675500,0
0.251999000,1
0.252675500,0
0.253999000,1
0.254675500,0
0.255999000,1
0.256675500,0
0.258020000,1
0.258951500,0
0.259999000,1
0.260675500,0
0.261999000,1
0.262675500,0
0.263999000,1
0.264675500,0
0.265999000,1
0.266675500,0
0.267999000,1
0.268675500,0
0.269999000,1
0.270675500,0
0.271999000,1
0.272675500,0
0.273999000,1
0.274675500,0
0.275999000,1
0.276675500,0
0.278020000,1
0.278949000,0
0.279999000,1
0.280675500,0
0.281999000,1
0.282675500,0
0.283999000,1
0.284675500,0
0.285999000,1
0.286675500,0
0.287999000,1
0.288675500,0
0.289999000,1
0.290675500,0
0.291999000,1
0.292675500,0
0.293999000,1
0.294675500,0
0.295999000,1
0.296675500,0
0.298020000,1
0.298960000,0
0.300003000,1
0.300742000,0
0.301999500,1
0.302775000,0
0.304741500,1
0.305439500,0
0.306005500,1
0.306705000,0
0.308002500,1
0.308701500,0
0.309999500,1
0.310698000,0
0.311999500,1
0.312696000,0
0.313999500,1
0.314676000,0
0.315999000,1
0.316675000,0
0.318020000,1
0.318948500,0
0.319999000,1
0.320675000,0
0.321999000,1
0.322675000,0
0.323999000,1
0.324675000,0
0.325999000,1
0.326675000,0
0.327999000,1
0.328675000,0
0.329999000,1
0.330675000,0
0.331999000,1
0.332675000,0
0.333999000,1
0.334675500,0
0.335999000,1
0.336675500,0
0.338019500,1
0.338956000,0
0.339999500,1
0.340676000,0
0.341999000,1
0.342675500,0
0.343999000,1
0.344675500,0
0.345999000,1
0.346675500,0
0.347999000,1
0.348675500,0
0.349999000,1
0.350675500,0
0.351999000,1
0.352675500,0
0.353999000,1
0.354675500,0
0.355999000,1
0.356675500,0
0.358019500,1
0.358949000,0
0.359999000,1
0.360675500,0
0.361999000,1
0.362675500,0
0.363999000,1
0.364675500,0
0.365999000,1
0.366675500,0
0.367999000,1
0.368675500,0
0.369999000,1
0.370675500,0
0.371999000,1
0.372675500,0
0.373999000,1
0.374675500,0
0.375999000,1
0.376675500,0
0.378019500,1
0.378951500,0
0.379999000,1
0.380675500,0
0.381999000,1
0.382675500,0
0.383999000,1
0.384675500,0
0.385999000,1
0.386675500,0
0.387999000,1
0.388675500,0
0.389999000,1
0.390675500,0
0.391999000,1
0.392675000,0
0.393999000,1
0.394675000,0
0.395999000,1
0.396675000,0
0.398019500,1
0.398957000,0
0.400002500,1
0.400741500,0
0.401999500,1
0.402774500,0
0.404741500,1
0.405441000,0
0.406005500,1
0.406707000,0
0.408005500,1
0.408703500,0
0.410001000,1
0.410700000,0
0.411999000,1
0.412696000,0
0.413999500,1
0.414675000,0
0.415999000,1
0.416674500,0
0.418019500,1
0.418951000,0
0.419998500,1
0.420674500,0
0.421998500,1
0.422674500,0
0.423998500,1
0.424675000,0
0.425998500,1
0.426674500,0
0.427998500,1
0.428674500,0
0.429998500,1
0.430674500,0
0.431998500,1
0.432674500,0
0.433998500,1
0.434675000,0
0.435998500,1
0.436675000,0
0.438019500,1
0.438953000,0
0.439999000,1
0.440675500,0
0.441998500,1
0.442675000,0
0.443998500,1
0.444675000,0
0.445998500,1
0.446675000,0
0.447998500,1
0.448675000,0
0.449998500,1
0.450675000,0
0.451998500,1
0.452675000,0
0.453998500,1
0.454675000,0
0.455998500,1
0.456675000,0
0.458019500,1
0.458951000,0
0.459998500,1
0.460675000,0
0.461998500,1
0.462675000,0
0.463998500,1
0.464675000,0
0.465998500,1
0.466675000,0
0.467998500,1
0.468675000,0
0.469998500,1
0.470675000,0
0.471998500,1
0.472675000,0
0.473998500,1
0.474674500,0
0.475998500,1
0.476674500,0
0.478019500,1
0.478948000,0
0.479998500,1
0.480674500,0
0.481998500,1
0.482674500,0
0.483998500,1
0.484674500,0
0.485998500,1
0.486674500,0
0.487998500,1
0.488674500,0
0.489998500,1
0.490674500,0
0.491998500,1
0.492674500,0
0.493998500,1
0.494674500,0
0.495998500,1
0.496674500,0
0.498019500,1
0.498956500,0
0.500002500,1
0.500741000,0
0.501999000,1
0.502774000,0
0.504742500,1
0.505442500,0
0.506005000,1
0.506706500,0
0.508005000,1
0.508705000,0
0.510003000,1
0.510701500,0
0.511999500,1
0.512698000,0
0.513999000,1
0.514675000,0
0.515998500,1
0.516674500,0
0.518019000,1
0.518950500,0
0.519998500,1
0.520674500,0
0.521998500,1
0.522674500,0
0.523998500,1
0.524674500,0
0.525998500,1
0.526674500,0
0.527998500,1
0.528674500,0
0.529998500,1
0.530674500,0
0.531998500,1
0.532674500,0
0.533998500,1
0.534674500,0
0.535998500,1
0.536675000,0
0.538019000,1
0.538955500,0
0.539999000,1
0.540675500,0
0.541998500,1
0.542675000,0
0.543998500,1
0.544675000,0
0.545998500,1
0.546674500,0
0.547998500,1
0.548674500,0
0.549998500,1
0.550674500,0
0.551998500,1
0.552674500,0
0.553998500,1
0.554674500,0
0.555998500,1
0.556675000,0
0.558019000,1
0.558948000,0
0.559998500,1
0.560674500,0
0.561998500,1
0.562674500,0
0.563998500,1
0.564674500,0
0.565998500,1
0.566674500,0
0.567998500,1
0.568674500,0
0.569998500,1
0.570674500,0
0.571998500,1
0.572674500,0
0.573998500,1
0.574674500,0
0.575998500,1
0.576674500,0
0.578019000,1
0.578948000,0
0.579998500,1
0.580674500,0
0.581998500,1
0.582674500,0
0.583998500,1
0.584674500,0
0.585998500,1
0.586674500,0
0.587998500,1
0.588674500,0
0.589998500,1
0.590674500,0
0.591998500,1
0.592674500,0
0.593998000,1
0.594674500,0
0.595998000,1
0.596674500,0
0.598019000,1
0.598959000,0
0.600002000,1
0.600741000,0
0.601998500,1
0.602774000,0
0.604740000,1
0.605436500,0
0.606005000,1
0.606702500,0
0.608000000,1
0.608698500,0
0.609998500,1
0.610695000,0
0.611998500,1
0.612695500,0
0.613998500,1
0.614675000,0
0.615998000,1
0.616674000,0
0.618019000,1
0.618950000,0
0.619998000,1
0.620674000,0
0.621998000,1
0.622674000,0
0.623998000,1
0.624674000,0
0.625998000,1
0.626674500,0
0.627998000,1
0.628674500,0
0.629998000,1
0.630674500,0
0.631998000,1
0.632674500,0
0.633998000,1
0.634674500,0
0.635998000,1
0.636674000,0
0.638019000,1
0.638952000,0
0.639998500,1
0.640674500,0
0.641998000,1
0.642674000,0
0.643998000,1
0.644674000,0
0.645998000,1
0.646674000,0
0.647998000,1
0.648674000,0
0.649998000,1
0.650674000,0
0.651998000,1
0.652674000,0
0.653998000,1
0.654674000,0
0.655998000,1
0.656674500,0
0.658019000,1
0.658948000,0
0.659998000,1
0.660674500,0
0.661998000,1
0.662674500,0
0.663998000,1
0.664674500,0
0.665998000,1
0.666674500,0
0.667998000,1
0.668674000,0
0.669998000,1
0.670674000,0
0.671998000,1
0.672674000,0
0.673998000,1
0.674674000,0
0.675998000,1
0.676674000,0
0.678018500,1
0.678950500,0
0.679998000,1
0.680674500,0
0.681998000,1
0.682674500,0
0.683998000,1
0.684674500,0
0.685998000,1
0.686674500,0
0.687998000,1
0.688674000,0
0.689998000,1
0.690674000,0
0.691998000,1
0.692674000,0
0.693998000,1
0.694674000,0
0.695998000,1
0.696674000,0
0.698018500,1
0.698958000,0
0.700001500,1
0.700740000,0
0.701998500,1
0.702773000,0
0.704741000,1
0.705438000,0
0.706004500,1
0.706704000,0
0.708002000,1
0.708700500,0
0.709998500,1
0.710697000,0
0.711998500,1
0.712695000,0
0.713998500,1
0.714674500,0
0.715998000,1
0.716674000,0
0.718018500,1
0.718947500,0
0.719998000,1
0.720674000,0
0.721998000,1
0.722674000,0
0.723998000,1
0.724674000,0
0.725998000,1
0.726674000,0
0.727998000,1
0.728674500,0
0.729998000,1
0.730674000,0
0.731998000,1
0.732674000,0
0.733998000,1
0.734674000,0
0.735998000,1
0.736674000,0
0.738018500,1
0.738955000,0
0.739998500,1
0.740674500,0
0.741998000,1
0.742674000,0
0.743998000,1
0.744674000,0
0.745998000,1
0.746674000,0
0.747998000,1
0.748674000,0
0.749998000,1
0.750674000,0
0.751998000,1
0.752674000,0
0.753998000,1
0.754674000,0
0.755998000,1
0.756674000,0
0.758018500,1
0.758947500,0
0.759998000,1
0.760674000,0
0.761998000,1
0.762674000,0
0.763998000,1
0.764674000,0
0.765997500,1
0.766674000,0
0.767997500,1
0.768674000,0
0.769997500,1
0.770674000,0
0.771997500,1
0.772674000,0
0.773997500,1
0.774674000,0
0.775997500,1
0.776674000,0
0.778018500,1
0.778947500,0
0.779997500,1
0.780674000,0
0.781997500,1
0.782674000,0
0.783997500,1
0.784674000,0
0.785997500,1
0.786674000,0
0.787997500,1
0.788674000,0
0.789997500,1
0.790674000,0
0.791997500,1
0.792674000,0
0.793997500,1
0.794674000,0
0.795997500,1
0.796674000,0
0.798018500,1
0.798958500,0
0.800001500,1
0.800740500,0
0.801998000,1
0.802773500,0
0.804741500,1
0.805440500,0
0.806004000,1
0.806706000,0
0.808004000,1
0.808702500,0
0.810000500,1
0.810699000,0
0.811998000,1
0.812695500,0
0.813998000,1
0.814674000,0
0.815997500,1
0.816673500,0
0.818018500,1
0.818947000,0
0.819997500,1
0.820673500,0
0.821997500,1
0.822673500,0
0.823997500,1
0.824673500,0
0.825997500,1
0.826673500,0
0.827997500,1
0.828674000,0
0.829997500,1
0.830674000,0
0.831997500,1
0.832674000,0
0.833997500,1
0.834674000,0
0.835997500,1
0.836674000,0
0.838018500,1
0.838954500,0
0.839998000,1
0.840674500,0
0.841997500,1
0.842674000,0
0.843997500,1
0.844674000,0
0.845997500,1
0.846674000,0
0.847997500,1
0.848674000,0
0.849997500,1
0.850673500,0
0.851997500,1
0.852673500,0
0.853997500,1
0.854673500,0
0.855997500,1
0.856673500,0
0.858018000,1
0.858949500,0
0.859997500,1
0.860673500,0
0.861997500,1
0.862673500,0
0.863997500,1
0.864673500,0
0.865997500,1
0.866673500,0
0.867997500,1
0.868673500,0
0.869997500,1
0.870674000,0
0.871997500,1
0.872674000,0
0.873997500,1
0.874674000,0
0.875997500,1
0.876674000,0
0.878018000,1
0.878947500,0
0.879997500,1
0.880673500,0
0.881997500,1
0.882673500,0
0.883997500,1
0.884673500,0
0.885997500,1
0.886673500,0
0.887997500,1
0.888673500,0
0.889997500,1
0.890673500,0
0.891997500,1
0.892673500,0
0.893997500,1
0.894673500,0
0.895997500,1
0.896673500,0
0.898018000,1
0.898955000,0
0.900001000,1
0.900740000,0
0.901998000,1
0.902772500,0
0.904737000,1
0.905433500,0
0.906001000,1
0.906699500,0
0.907998000,1
0.908695500,0
0.909998000,1
0.910694000,0
0.911998000,1
0.912697500,0
0.913998000,1
0.914674000,0
0.915997500,1
0.916673500,0
0.918018000,1
0.918949500,0
0.919997500,1
0.920673500,0
0.921997500,1
0.922673500,0
0.923997500,1
0.924673500,0
0.925997500,1
0.926673500,0
0.927997500,1
0.928673500,0
0.929997500,1
0.930673500,0
0.931997500,1
0.932673500,0
0.933997500,1
0.934673500,0
0.935997500,1
0.936673500,0
0.938018000,1
0.938954000,0
0.939997500,1
0.940674000,0
0.941997000,1
0.942673500,0
0.943997000,1
0.944673500,0
0.945997000,1
0.946673500,0
0.947997000,1
0.948673500,0
0.949997000,1
0.950673000,0
0.951997000,1
0.952673000,0
0.953997000,1
0.954673000,0
0.955997000,1
0.956673000,0
0.958018000,1
0.958946500,0
0.959997000,1
0.960673000,0
0.961997000,1
0.962673000,0
0.963997000,1
0.964673000,0
0.965997000,1
0.966673000,0
0.967997000,1
0.968673000,0
0.969997000,1
0.970673000,0
0.971997000,1
0.972673000,0
0.973997000,1
0.974673000,0
0.975997000,1
0.976673000,0
0.978018000,1
0.978946500,0
0.979997000,1
0.980673500,0
0.981997000,1
0.982673500,0
0.983997000,1
0.984673500,0
0.985997000,1
0.986673500,0
0.987997000,1
0.988673500,0
0.989997000,1
0.990673500,0
0.991997000,1
0.992673500,0
0.993997000,1
0.994673500,0
0.995997000,1
0.996673500,0
0.998018000,1
0.998958000,0
1.000001000,1
1.000740000,0
1.001997500,1
1.002773000,0
1.004739000,1
1.005436000,0
1.006003500,1
1.006702000,0
1.007999000,1
1.008698000,0
1.009997500,1
1.010694500,0
1.011997500,1
1.012694500,0
1.013997500,1
1.014674000,0
1.015997000,1
1.016673500,0
1.018017500,1
1.018949500,0
1.019997000,1
1.020673500,0
1.021997000,1
1.022673500,0
1.023997000,1
1.024673500,0
1.025997000,1
1.026673500,0
1.027997000,1
1.028673500,0
1.029997000,1
1.030673500,0
1.031997000,1
1.032673000,0
1.033997000,1
1.034673000,0
1.035997000,1
1.036673000,0
1.038017500,1
1.038951000,0
1.039997500,1
1.040673500,0
1.041997000,1
1.042673000,0
1.043997000,1
1.044673000,0
1.045997000,1
1.046673000,0
1.047997000,1
1.048673000,0
1.049997000,1
1.050673000,0
1.051997000,1
1.052673000,0
1.053997000,1
1.054673000,0
1.055997000,1
1.056673000,0
1.058017500,1
1.058946500,0
1.059997000,1
1.060673000,0
1.061997000,1
1.062673000,0
1.063997000,1
1.064673000,0
1.065997000,1
1.066673000,0
1.067997000,1
1.068673000,0
1.069997000,1
1.070673000,0
1.071997000,1
1.072673000,0
1.073997000,1
1.074673000,0
1.075997000,1
1.076673000,0
1.078017500,1
1.078949000,0
1.079997000,1
1.080673000,0
1.081997000,1
1.082673000,0
1.083997000,1
1.084673000,0
1.085997000,1
1.086673000,0
1.087997000,1
1.088673000,0
1.089997000,1
1.090673000,0
1.091997000,1
1.092673000,0
1.093997000,1
1.094673000,0
1.095997000,1
1.096673000,0
1.098017500,1
1.098954500,0
1.100000500,1
1.100739000,0
1.101997000,1
